business_unit,country,office_name,office_type,city,address,postcode,phone,email,website,source_url,source_page,notes
Allianz Corporate,Austria,Allianz Commercial,contact,Vienna,"Wiedner Gürtel 9-13, 1100 Vienna, Austria",1100,+43 5 9009 88700,,commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
Allianz Corporate,Austria,Allianz Invest Kapitalanlagegesellschaft mbH (Allianz Invest KAG),contact,Wien,"Wiedner Gürtel 9-13, 1100 Wien, Austria",1100,+43 1 505 54 80 4848,,www.allianzinvest.at,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
Allianz Corporate,Austria,Allianz Partners Austria,contact,Vienna,"AWP P&C S.A., Austria Branch, Linzer Straße 225, 1140 Vienna, Austria",1140,+43 1 525 03 6945,,,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
Allianz Corporate,Austria,Allianz Partners Austria: www.allianz-partners.com,contact,Wien,"Travel Insurance: www.allianz-assistance.at, Allianz Pensionskasse AG, Wiedner Gürtel 9-13, 1100 Wien, Austria",1100,+43 1 546 22 568,,www.allianzpk.at,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
Allianz Corporate,Austria,Allianz Technology GmbH,contact,Vienna,"Linzer Strasse 225, 1140 Vienna, Austria",1140,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
Allianz Corporate,Austria,Allianz Vorsorgekasse AG,contact,Wien,"Wiedner Gürtel 9-13, 1100 Wien, Austria",1100,+43 1 546 22 567,,www.allianzvk.at,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
Allianz Corporate,Austria,"Euler Hermes Collections GmbH, Zweigniederlassung Österreich",contact,Vienna,"Handelskai 388, 1020 Vienna, Austria",1020,+43 1 22714000,,,https://www.allianz.com/en/about-us/company/contact/austria.html,Austria | Allianz,
Allianz Corporate,Belgium,Allianz Benelux SA,office,Brussels,"Koning Albert II Laan 32, 1000 Brussels, Belgium",1000,+32 2 2146111 | +32 2 2146274,,www.allianz.be,https://www.allianz.com/en/about-us/company/contact/belgium.html,Belgium | Allianz,
Allianz Corporate,Belgium,Allianz Commercial,contact,Berchem,"Uitbreidingstraat 86, 2600 Berchem, Belgium",2600,,,commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/belgium.html,Belgium | Allianz,
Allianz Corporate,Belgium,Allianz SE European Affairs Office,contact,Brussels,"Avenue des Arts 27, 1040 Brussels, Belgium",1040,,,,https://www.allianz.com/en/about-us/company/contact/belgium.html,Belgium | Allianz,
Allianz Corporate,Belgium,Website,contact,Brussels,"Allianz Global Investors GmbH, Koning Albert II Laan 32, 1000 Brussels, Belgium",1000,,,www.allianzgi.be,https://www.allianz.com/en/about-us/company/contact/belgium.html,Belgium | Allianz,
Allianz Corporate,Belgium,Allianz Partners,contact,Brüssel,"Koning Albert II Laan 32, 1000 Brüssel",1000,,,,https://www.allianz.com/en/about-us/company/contact/belgium.html,Belgium | Allianz,
Allianz Corporate,Belgium,Belgien,contact,Brussels,"Allianz Technology SE, Koning Albert II Laan 32, 1000 Brussels, Belgium",1000,+32 2 529 7670,,www.allianz-assistance.be | www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/belgium.html,Belgium | Allianz,
Allianz Corporate,Belgium,Allianz Trade in Belgium,contact,Brussels,"Avenue des Arts – Kunstlaan, 56, 1000 Brussels, Belgium",1000,+32 2 2893111,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/belgium.html,Belgium | Allianz,
Allianz Corporate,Bulgaria,Allianz Bulgaria Holding,office,Sofia,"Str. Srebarna 16, 1407 Sofia, Bulgaria",1407,+359 700 13 014,,www.allianz.bg,https://www.allianz.com/en/about-us/company/contact/bulgaria.html,Bulgaria | Allianz,
Allianz Corporate,Bulgaria,Allianz Partners,contact,Vienna,"Branch Austria, Pottendorfer Strasse 23-25, 1120 Vienna",1120,+359 2995 1843,,www.allianz-assistance.bg,https://www.allianz.com/en/about-us/company/contact/bulgaria.html,Bulgaria | Allianz,
Allianz Corporate,Bulgaria,Allianz Trade in Bulgaria,contact,Sofia,"Pl. ""Positano"" 2, Performance Business Center,, fl. 5, Sofia, 1000,, Bulgaria",1000,+359 2 890 1410,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/bulgaria.html,Bulgaria | Allianz,
Allianz Corporate,Croatia,Allianz Hrvatska d.d.,office,Zagreb,"Heinzelova 70, 10000 Zagreb, Croatia",10000,+385 99 3465 855 | +385 1 4653 533,,www.allianz.hr,https://www.allianz.com/en/about-us/company/contact/croatia.html,Croatia | Allianz,
Allianz Corporate,Croatia,Allianz ZB d.o.o. (Voluntary and Obligatory Pension Fund Company),contact,Zagreb,"Heinzelova 70, 10000 Zagreb, Croatia",10000,+385 1 3670367 | +385 1 3670414,,www.allianz.hr,https://www.allianz.com/en/about-us/company/contact/croatia.html,Croatia | Allianz,
Allianz Corporate,Cyprus,Allianz Hellas S. A. Cyprus Branch office,office,The Globe House,"The Globe House, Kennedy Avenue 23, 3",,+357 77770110,,www.allianz.com.gr,https://www.allianz.com/en/about-us/company/contact/cyprus.html,Cyprus | Allianz,
Allianz Corporate,Cyprus,Allianz Hellas S. A. Cyprus Branch office,office,Nicosia,"rd, Floor, 1075 Nicosia",1075,+357 77770110,,www.allianz.com.gr,https://www.allianz.com/en/about-us/company/contact/cyprus.html,Cyprus | Allianz,
Allianz Corporate,Cyprus,Allianz Hellas S. A. Cyprus Branch office,office,Cyprus,"Cyprus, Send e-mail 1, Send e-mail 2",,+357 77770110,,www.allianz.com.gr,https://www.allianz.com/en/about-us/company/contact/cyprus.html,Cyprus | Allianz,
Allianz Corporate,Czech Republic,"Allianz pojistovna, a.s.",office,186 00 Praha 8,"Ke Stvanici 656/3, 186 00 Praha 8, Czech Republic",,+420 2 41170000,,www.allianz.cz,https://www.allianz.com/en/about-us/company/contact/czech-republic.html,Czech Republic | Allianz,
Allianz Corporate,Czech Republic,Allianz Partners,contact,170 00 Praha 7,"Jankovcova 1596/14b, 170 00 Praha 7, Czech Republic",1596,+420 2 96 849 959,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/czech-republic.html,Czech Republic | Allianz,
Allianz Corporate,Czech Republic,"Allianz penzijni společnost, a. s.",contact,186 00 Praha 8,"Ke Stvanici 656/3, 186 00 Praha 8, Czech Republic",,+420 2 41170000 | +420 2 42455414,,www.allianz.cz,https://www.allianz.com/en/about-us/company/contact/czech-republic.html,Czech Republic | Allianz,
Allianz Corporate,Czech Republic,Allianz Trade in Czech Republic,contact,180 00 Praha 8,"Voctářova 2497/18, 180 00 Praha 8, Czech Republic",2497,+420 266 109 513,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/czech-republic.html,Czech Republic | Allianz,
Allianz Corporate,Denmark,Allianz Commercial,office,Copenhagen,"Pilestraede 58, Copenhagen, 1112, Denmark",1112,,,commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/denmark.html,Denmark | Allianz,
Allianz Corporate,Denmark,Allianz Partners Nordic and Baltic Region,office,VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",1059,,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/denmark.html,Denmark | Allianz,
Allianz Corporate,Denmark,Allianz Trade in Denmark,office,København K,"Møntergade 5, 1116 København K, Denmark",1116,+45 88 33 33 88,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/denmark.html,Denmark | Allianz,
Allianz Corporate,Estonia,Allianz Partners Nordic and Baltic Region,office,VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",1059,,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/estonia.html,Estonia | Allianz,
Allianz Corporate,Estonia,If P&C Insurance AS,office,Tallinn,"Lõõtsa 8a, 11415 Tallinn, Estonia",11415,+372 6671247,,,https://www.allianz.com/en/about-us/company/contact/estonia.html,Estonia | Allianz,
Allianz Corporate,Finland,Allianz Commercial,office,Helsinki,"Konepajankuja 1, Helsinki, 00510, Finland",00510,,,commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/finland.html,Finland | Allianz,
Allianz Corporate,Finland,Allianz Partners Nordic and Baltic Region,office,VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",1059,,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/finland.html,Finland | Allianz,
Allianz Corporate,Finland,Allianz Trade Suomi,office,Helsinki,"Suomen sivuliike, Konepajankuja 1, 00510 Helsinki, Finland",00510,+358 10 850 8500,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/finland.html,Finland | Allianz,
Allianz Corporate,France,Allianz France,office,1 cours Michelet – CS 30051,"1 cours Michelet – CS 30051, France",30051,+33 1 5885 1500 | +33 1 44864242,,www.allianz.fr,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz France,office,Paris La Défense Cedex,"92076 Paris La Défense Cedex, France",92076,+33 1 5885 1500 | +33 1 44864242,,www.allianz.fr,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz Africa,contact,Paris La Défense Cedex,"1 cours Michelet – CS 30051, 92076 Paris La Défense Cedex, France",92076,+33 1 5885 1500 | +33 1 44862388,,www.allianz-africa.com | www.allianz.fr,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz Alternative Asset Management (AAAM),contact,Paris Cedex,"20 Rue Le Peletier, 75444 Paris Cedex 09, France",75444,+33 1 44862000 | +33 1 57868255,,www.aaam.fr,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz Banque,contact,Puteaux,"1 Cours Michelet, 92800 Puteaux, France",92800,+33 1 85637939,,www.allianzbanque.fr,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz Commercial,contact,Paris,"Esplanade Sud – Quartier Michelet, 1 Cours Michelet, 92800 Paris",92800,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,"Allianz Global Investors GmbH, France Branch",contact,Paris Cedex,"3 Boulevard des Italiens, Case Courrier P401, CS 70264, 75118 Paris Cedex, France",75118,+33 1 7305 7305,,www.allianzgi.fr,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz Partners France,contact,SAINT-OUEN-SUR-SEINE,"Eurosquare 2, 7 rue Dora Maar, 93400 SAINT-OUEN-SUR-SEINE, France",93400,+33 1 53 05 86 00,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz Real Estate France,contact,Puteaux,"1 Cours Michelet, 92800 Puteaux, France",92800,+33 1 44866790 | +33 1 44864543,,www.allianz-realestate.com,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz Services France,contact,Tour Allianz One,"Tour Allianz One, Cours Michelet 1",,,,,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,"La Défense, Paris",contact,St-Ouen,"France, Allianz Technology, Eurosquare 1 151-161, boulebvard Victor Hugo, 93400 St-Ouen, France",93400,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz Trade en France,contact,Paris La Défense Cedex,"1 Place des Saisons, 92048 Paris La Défense Cedex, France",92048,+33 1 8411 5054,,www.allianz-trade.fr,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Allianz Trade for Multinationals,contact,Paris La Défense Cedex,"1 Place des Saisons, 92048 Paris La Défense Cedex, France",92048,+33 1 8411 5050,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Calypso,contact,20 Place de Seine,20 Place de Seine,,,,,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Tour Neptune,contact,Paris,"92086 Paris, France",92086,+33 1 44862000 | +33 1 44864242,,www.arcalis.fr | www.allianz.fr,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Euler Hermes Recouvrement France,contact,Paris La Défense Cedex,"1 Place des Saisons, 92048 Paris La Défense Cedex, France",92048,+33 1 8411 5054,,www.allianz-trade.fr,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,GTS – Gestion Téléassistance Services,contact,Châtillon Cedex,"81 rue Pierre Sémard, 92324 Châtillon Cedex, France",92324,+33 1 48 97 74 96,,www.allianz-teleprotection.fr,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,SEPSAD Société Européenne de Protection et de Service d'Assistance Au Domicile,contact,Tour AGF Athena Case Postale 6M,Tour AGF Athena Case Postale 6M,,,,,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,France,Cours Michelet,contact,Paris La Défense,"92176 Paris La Défense, France",92176,+33 1 58856900,,www.sepsad-telesurveillance.fr/p/mondial,https://www.allianz.com/en/about-us/company/contact/france.html,France | Allianz,
Allianz Corporate,Germany,Allianz Deutschland AG,office,Munich,"Koeniginstrasse 28, 80802 Munich, Germany",80802,+49 89 3800 0,,www.allianz.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,ADEUS Aktienregister-Service-GmbH,contact,Munich,"Koeniginstrasse 28, 80802 Munich, Germany",80802,,,www.adeus.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Beratungs- und Vertriebs-AG,contact,Munich,"Koeniginstrasse 28, 80802 Munich, Germany",80802,+49 89 3800 0,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Capital & Pension Solutions GmbH,contact,Stuttgart,"Heßbruehlstraße 2, 70565 Stuttgart, Germany",70565,+49 711 663 5950,,www.allianz.de/business/apc/,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Capital Partners GmbH,contact,Munich,"Seidlstrasse 24-24a, 80335 Munich, Germany",80335,+49 89 1220 8200,,www.allianzcapitalpartners.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Commercial,contact,Unterfoehring,"Head Office, Dieselstrasse 6-11, 85774 Unterfoehring, Germany",85774,,,www.commercial.allianz.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Direct Versicherungs-AG,contact,Munich,"Koeniginstrasse 28, 80802 Munich, Germany",80802,,,www.allianzdirect.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Esa GmbH,contact,Bad Friedrichshall,"Friedrichsplatz 2, 74177 Bad Friedrichshall, Germany",74177,+49 7136 9513 0 | +49 7136 9513 133,,www.allianz-esa.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Foundation,contact,Berlin,"Pariser Platz 6, 10117 Berlin, Germany",10117,+49 30 9940 5970,,www.allianzfoundation.org,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Global Benefits GmbH,contact,Stuttgart,"Reinsburgstrasse 19, 70178 Stuttgart, Germany",70178,+49 711 6631 220,,www.allianzglobalbenefits.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Global Investors GmbH,contact,Munich,"Munich, Seidlstrasse 24-24a, 80335 Munich, Germany",80335,,,www.de.allianzgi.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Frankfurt,contact,Frankfurt am Main,"Bockenheimer Landstrasse 42-44, 60323 Frankfurt am Main, Germany",60323,,,www.de.allianzgi.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Handwerker Services,contact,Aschheim near Munich,"Allianz Partners Deutschland GmbH, Bahnhofstr. 16, 85609 Aschheim near Munich, Germany",85609,+49 89 51719-0,,www.allianz-handwerker.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Investment Management SE,contact,Munich,"Koeniginstrasse 28, 80802 Munich, Germany",80802,+49 89 3800 0,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Investment Management SE,contact,Stuttgart,"Allianz Lebensversicherungs-AG, Reinsburgstr. 19, 70178 Stuttgart, Germany",70178,+49 89 3800-0,,www.allianz.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Partners Deutschland GmbH,contact,Aschheim,"AWP P&C S.A. German Branch, Bahnhofstrasse 16, 85609 Aschheim / Munich, Germany",85609,+49 89 2620 830,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Private Krankenversicherungs-AG,contact,Munich,"Koeniginstrasse 28, 80802 Munich, Germany",80802,+49 89 3800-0,,www.allianz.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz SE,contact,Munich,"Koeniginstrasse 28, 80802 Munich, Germany",80802,+49 89 3800 0,,www.allianz.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz SE Representative Office Berlin,contact,Berlin,"Pariser Platz 6, 10117 Berlin, Germany",10117,,,www.germany/representative-office-berlin,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Services,contact,München,"Allianz Technology SE, Allianz Services, Koeniginstr. 28, 80802 München",80802,,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Technology SE,contact,München,"Koeniginstr. 28, 80802 München, Germany",80802,,,https://tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Trade in Germany,contact,Hamburg,"Euler Hermes Germany Branch of Euler Hermes SA, Gasstr. 29, 22761 Hamburg, Germany",22761,+49 40 88 34-0,,www.allianz-trade.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Travel Insurance,contact,Aschheim near Munich,"AWP P&C S.A. Branch in Germany, Bahnhofstr. 16, 85609 Aschheim near Munich, Germany",85609,+49 89 262083-0,,www.allianz-reiseschutz.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Treuhand GmbH,contact,Stuttgart,"Reinsburgstrasse 19, 70178 Stuttgart, Germany",70178,+49 711 66 30 | +49 711 66 32 654,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz Versicherungs-AG,contact,Munich,"Koeniginstrasse 28, 80802 Munich, Germany",80802,+49 89 3800 0 | +49 800 4400 101,,www.allianz.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Allianz X GmbH,contact,Munich,"Leopoldstrasse 28a, 80802 Munich, Germany",80802,,,https://allianzx.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,AZT Automotive GmbH (Allianz Center for Technology),contact,Ismaning,"Münchener Str. 89, 85737 Ismaning",85737,+49 89 3800 6312,,www.azt-automotive.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Deutsche Lebensversicherungs-AG,contact,Berlin,"Merlitzstr. 8, 12489 Berlin, Germany",12489,+49 30 53893 647 10 | +49 800 4400 104,,www.dlvag.de | www.allianz.de | www.risikolebensversicherungen.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Euler Hermes Collections GmbH,contact,Potsdam,"Zeppelinstr. 48, 14471 Potsdam, Germany",14471,+49 331 27890 000 | +49 331 5057 121,,www.allianz-trade.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Foreign Trade and Investment Promotion Scheme,contact,Hamburg,"Euler Hermes Aktiengesellschaft, Gasstraße 29, 22761 Hamburg, Germany",22761,+49 40 8834 9090 | +49 40 8834 9141,,www.agaportal.de,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,PIMCO Prime Real Estate GmbH,contact,Berlin,"Berlin, Joachimsthalerstr. 10, 10719 Berlin, Germany",10719,+49 89 3800-0,,www.pimcoprimerealestate.com,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Frankfurt am Main,contact,Frankfurt am Main,"Taunusanlage 17, 60325 Frankfurt am Main, Germany",60325,,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Hamburg,contact,Hamburg,"Kleine Rosenstr. 10, 20095 Hamburg, Germany",20095,,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Munich,contact,Munich,"Seidlstr. 24-24a, 80335 Munich, Germany",80335,,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
Allianz Corporate,Germany,Stuttgart,contact,Stuttgart,"Charlottenstr. 3, 70182 Stuttgart, Germany",70182,,,,https://www.allianz.com/en/about-us/company/contact/germany.html,Germany | Allianz,
