country,city,company_type,address,phone
Germany,München,Allianz Technology München,"München, Allianz Technology SE, Königinstr. 28, 80802 Munich, Germany",
Germany,Unterföhring,Allianz Commercial Unterföhring,"Munich, Dieselstraße 6-11, 85774 Unterföhring",
Ghana,Accra,Allianz Corporate Accra,"Lexta Square, No. 79 Achimota Road, Ebony Crescent (off the Olusegun Obasanjo Highway), Accra-Ghana",
Greece,Athens,Allianz Corporate Athens,"Athinon Ave. 110, Building C, 104 42 Athens",
Greece,Chalandri,Allianz Corporate Chalandri,"152 32 Chalandri, Greece",
Greece,Kifisias Ave.,Allianz Corporate Kifisias Ave.,"274, Kifisias Ave., Greece",
Guadeloupe,Le Patio de Grand Camp,Allianz Corporate Le Patio de Grand Camp,"Le Patio de Grand Camp, BP 212, 97156 Pointe a Pitre Cedex",
Guernsey,St Peter Port,Allianz Corporate St Peter Port,"St Peter Port, Guernsey GY1 2 LT, Channel Islands, Guernsey",
Hong Kong,Queensway,Allianz Corporate Queensway,"88 Queensway, Admiralty, Hong Kong, hk.allianzgi.com",
Hong Kong,Taikoo Shing,Allianz Corporate Taikoo Shing,"Hong Kong, PIMCO Asia Ltd., Suites 403-11, 4/F, Cityplaza Phase Four, 12 Taikoo Wan Road",+852 3665 8901
Hong Kong,Two Pacific Place,Allianz Corporate Two Pacific Place,"32/F, Two Pacific Place",
Hungary,Budapest,Allianz Commercial Budapest,"Allianz Hungária Zrt., Könyves Kálmán krt. 48-52., 1087 Budapest",
Hungary,Budaörs,Allianz Corporate Budaörs,"Szabadság út 117, 2040 Budaörs",
Hungary,however,Allianz Technology however,"The Local Compliance Officer of Allianz Technology Hungary Branch is designated to handle reports related to potential violations of external legal or internal Allianz regulations., Please be advised that your report can only be investigated if it contains sufficient information. Hence, we ask you to provide as many details as possible. When you submit a report, we will confirm the receipt within 7 days., If the report is in line with the relevant legal regulations we conduct an investigation and we will provide information to you on its results., It is useful for our investigations team if you provide your name and/or an e-mail address when submitting a report. This enables us to contact you in case we have any follow-up questions. If you would prefer to remain anonymous, however",
Hungary,the Integrity Authority,Allianz Technology the Integrity Authority,"- the Economic Competition Office, - the Integrity Authority, - the Public Procurement Authority, - the Hungarian National Bank, - the National Data Protection and Freedom of Information Authority, - the National Media and Communications Authority, The relevant local (Hungarian) regulation is the Act No. CLXV. of 2013. on",
Iceland,Hafnarfirði,Allianz Corporate Hafnarfirði,"220 Hafnarfirði, Iceland",
Iceland,VM Amsterdam,Allianz Corporate VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam",
India,Mumbai,Allianz Commercial Mumbai,"Mumbai, Office #66, 3-North Avenue",
India,Pune,Allianz Corporate Pune,"Kharadi, Maharashtra, Pune, India, EON Free Zone, Office 1B, 5th Floor, Tower B, S. No. 72/2/1, Eon Kharadi Infrastructure Pvt. Ltd",
India,Thiruvananthapuram,Allianz Corporate Thiruvananthapuram,"Kazhakuttam, Thiruvananthapuram, Kerala - 695581",
India,Trivandrum,Allianz Corporate Trivandrum,"Kharadi, Maharashtra, Pune, India, In Trivandrum, Ganga Technopark Campus, Phase III, Trivandrum, Kerala - 695581",
Indonesia,Jakarta,Allianz Commercial Jakarta,"Permata Kuningan Building 2nd Floor, Jl. Kuningan Mulia Kav. 9C, Guntur Jakarta – 12960",
Indonesia,Jakarta Selatan,Allianz Corporate Jakarta Selatan,"-15, th, floor, Jl. Jenderal Sudirman Kav. 29-31, Jakarta Selatan 12920",
Ireland,Dublin,Allianz Technology Dublin,"Dublin, Allianz Technology SE, Allianz House, Elmpark, Merrion Road, Dublin 4, D04 Y6Y6, Ireland",
Ireland,Elmpark,Allianz Corporate Elmpark,"Allianz House, Elmpark, Merrion Road, Dublin 4, Ireland",
Ireland,Merrion Roard,Allianz Corporate Merrion Roard,"Allianz House, Elm Park, Merrion Roard, Dublin 4, D04 Y6Y6 Ireland",+353 1 613 3000
Ireland,Protected Disclosures Act,Allianz Technology Protected Disclosures Act,"Protected Disclosures Act 2022, Allianz Technology Ireland provides a secure and confidential channel for workers and third parties to make",
Italy,Milan,Allianz Commercial Milan,"Piazza Tre Torri 3, 20145 Milan",
Italy,Milano,Allianz Corporate Milano,"Piazza Tre Torri, 3 – 20145 Milano, Italy",
Italy,Trieste,Allianz Technology Trieste,"General Management and Offices:, Allianz Technology S.p.A., Largo Ugo Irneri, 1, 34123 Trieste - Italy",
Japan,Minato-ku,Allianz Corporate Minato-ku,"18F, Minato-ku, Japan, life.allianz.co.jp",
Japan,Tokyo,Allianz Commercial Tokyo,"Tokyo, Allianz Fire and Marine Insurance Japan Ltd., Anzen Building, 6-6, Motoakasaka 1 chome",107-0051
Latin America,Brickell,Allianz Commercial Brickell,"Miami Latin America Hub, Industrious – 1111 Brickell, Avenue 10th Floor",
Liechtenstein,Schaan,Allianz Corporate Schaan,"9494 Schaan, Liechtenstein",
Liechtenstein,Wallisellen,Allianz Commercial Wallisellen,"Zurich, Allianz Risk Transfer AG, Zurich / Wallisellen Branch, Richtiplatz 1, CH-8304 Wallisellen",
Liechtenstein,Zurich,Allianz Commercial Zurich,"Bermuda, Liechtenstein, Zurich, Allianz Risk Transfer AG (Bermuda Branch), Jardine House, 33-35 Reid St, Hamilton HM 12",
Lithuania,Vilnius,Allianz Corporate Vilnius,"LT-09320 Vilnius, Lithuania",
Lithuania,VM Amsterdam,Allianz Corporate VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam",
Luxembourg,Luxemburg,Allianz Corporate Luxemburg,"14 bld F.D. Roosevelt, 2450 Luxemburg",+352 472 3461 | +352 472 3462 35
Luxembourg,route de Trèves,Allianz Corporate route de Trèves,"6a, route de Trèves, L-2633 Luxembourg",+352 46 346 31 | +352 4634 63620
Malaysia,Jalan Tun Sambanthan,Allianz Commercial Jalan Tun Sambanthan,"Kuala Lumpur, Level 29, Menara Allianz Sentral, 203, Jalan Tun Sambanthan",
Malaysia,Kuala Lumpur,Allianz Corporate Kuala Lumpur,"50470 Kuala Lumpur, Malaysia",
Malaysia,Kuala Lumpur Sentral,Allianz Corporate Kuala Lumpur Sentral,"203, Jalan Tun Sambanthan, Kuala Lumpur Sentral, Malaysia",
Mauritius,Ebene City,Allianz Technology Ebene City,"Ebene City, Allianz Services Mauritius, Ebene Esplanade, 24 Cibercity, 72201Ebene, Mauritius",
Mexico,Ciudad de México,Allianz Commercial Ciudad de México,"11010 Ciudad de México, CDMX",
Mexico,Col. Lomas de Barrilaco,Allianz Corporate Col. Lomas de Barrilaco,"Blvd. Manuel A. Camacho 164, Col. Lomas de Barrilaco",
Mexico,México D.F,Allianz Corporate México D.F,"C.P. 11010, México D.F, Mexico",
Morocco,Casablanca,Allianz Corporate Casablanca,"Casablanca 20060, Morocco",
Netherlands,AL Amsterdam,Allianz Corporate AL Amsterdam,"Euler Hermes Garanties, De Entree 31 (Alpha Tower), P.O. Box 12473, 1100 AL Amsterdam",+31 73 6889 999
Netherlands,Amsterdam,Allianz Technology Amsterdam,"Rotterdam, Amsterdam, Allianz Technology International B.V., Allianz Europe BV, Keizersgracht 484, 1017EH Amsterdam",
Netherlands,AT Rotterdam,Allianz Corporate AT Rotterdam,"3000 AT Rotterdam, The Netherlands",
Netherlands,Rotterdam,Allianz Commercial Rotterdam,"Coolsingel 120, 3011 AG Rotterdam",
Netherlands,The,Allianz Corporate The,"Allianz Trade in the Netherlands, Brabantlaan 2, 5216 TV ’s-Hertogenbosch",
Netherlands,VM Amsterdam,Allianz Corporate VM Amsterdam,"nl.allianzgi.com, Allianz Partners, Poeldijkstraat 4, 1059 VM Amsterdam",
New Zealand,Auckland,Allianz Corporate Auckland,"1010 Auckland, New Zealand",
Nigeria,Lagos,Allianz Corporate Lagos,"307, Adeola Odeku, Victoria Island, Lagos, Nigeria, E-Mail senden",
Philippines,Makati City,Allianz Corporate Makati City,"6754 Ayala Avenue corner Legaspi Street, Makati City, MAKATI CENTRAL OFFICE",
Philippines,The,Allianz Corporate The,"P.O. BOX 3191, The Philippines",
Poland,Warszawa,Allianz Commercial Warszawa,"Allianz Polska, Ul.Inflancka 4b, 00-189 Warszawa",
Qatar,Doha,Allianz Corporate Doha,"63 Airport Road Zone 27, Doha, State of Qatar",
Qatar,P.O. Box,Allianz Corporate P.O. Box,"501, Al Warba Center, P.O. Box 183957",
Qatar,Umm Ghuwailina,Allianz Corporate Umm Ghuwailina,"Office 604C, 6th Floor, Jaidah Square Building, Umm Ghuwailina",
Romania,Bucharest,Allianz Corporate Bucharest,"District 1, Bucharest, Romania",
Romania,București,Allianz Commercial București,"Allianz-Tiriac Romania, Strada Buzești 82-94, București 011017",
Romania,Buzești St.,Allianz Corporate Buzești St.,"82-94 Buzești St., Romania",
Romania,Cladirea B,Allianz Corporate Cladirea B,"Romania, Allianz Trade in Romania, Oregon Park, Cladirea B, Et. 1, Șoseaua Pipera 46D-46E-48, Sector 2",40 21 2072 166 | 40 21 2072 170
Singapore,CapitaSky,Allianz Corporate CapitaSky,"No. 79 Robinson Road, #09-01 CapitaSky, Singapore 068897",+65 6 297 8801
Singapore,Marina View,Allianz Corporate Marina View,"12 Marina View, #14-01 Asia Square Tower 2, Singapore 018961",+65 6 297 8801
Slovakia,Bratislava,Allianz Commercial Bratislava,"Allianz - Slovenská poisťovňa, a. s., Pribinova 19, 81109 Bratislava",
Slovenia,Ljubljana,Allianz Commercial Ljubljana,"Allianz Slovenija, podružnica, Dunajska cesta 156, 1000 Ljubljana",
South Africa,Rosebank,Allianz Commercial Rosebank,"The Firs, 2nd Floor, 32A Cradock Avenue, 2196 Rosebank",
South Korea,Seoul,Allianz Commercial Seoul,"Level 22, Seoul Finance Center, 136 Sejong-daero, Jung-gu, Seoul, 04520",
Spain,Barcelona,Allianz Technology Barcelona,"Barcelona, Allianz Technology Spain, Avenida Icaria, 199, 08005 Barcelona, Spain",
Spain,Madrid,Allianz Corporate Madrid,"C/ Ramírez de Arellano, 28043 Madrid, Spain",
Sri Lanka,Galle Face,Allianz Corporate Galle Face,"Centre Road, Galle Face, Colombo 02, Sri Lanka",
Switzerland,Wallisellen,Allianz Corporate Wallisellen,"8304 Wallisellen, Switzerland",
Switzerland,Zurich,Allianz Commercial Zurich,"Postfach, CH-8010 Zurich",
Taiwan,Flat A,Allianz Corporate Flat A,"Taipei, Taiwan, Allianz Trade in Taiwan, Flat A, 8/F, No. 39, Section 2 Dunhua South Road",+886 2 8789 5858 | +886 2 8789 5008
Taiwan,Kaohsiung,Allianz Corporate Kaohsiung,"R., Kaohsiung 80250",
Taiwan,Taipei,Allianz Corporate Taipei,"Taipei 104016, Taiwan, tw.allianzgi.com",
Taiwan,Zhongshan N. Rd.,Allianz Corporate Zhongshan N. Rd.,"8F, No. 42, Sec. 2, Zhongshan N. Rd.",
Thailand,Bangkok,Allianz Commercial Bangkok,"Allianz Ayudhya, Floor 1 Ploenchit Tower, 898 Ploen Chit Road, Bangkok 10330",
Thailand,Rajathevi,Allianz Corporate Rajathevi,"Makkasan, Rajathevi, Bangkok 10400",
Türkiye,Kucukbakkalkoy Mahallesi,Allianz Corporate Kucukbakkalkoy Mahallesi,"Allianz Tower, Kucukbakkalkoy Mahallesi, Kayisdagi Caddesi. No: 1",
Türkiye,Üsküdar Istanbul,Allianz Corporate Üsküdar Istanbul,"Altunizade Mah, Kısıklı Cad. No: 47 Kat: 3-4, 34662 Üsküdar Istanbul",
USA,Articles,Allianz Commercial Articles,"All articles, Allianz Risk Barometer 2026 - Cyber incidents, Allianz Risk Barometer 2026 - Artificial intelligence, Allianz Risk Barometer 2026 - Business interruption, Allianz Risk Barometer 2026 - Changes in legislation, Allianz Risk Barometer 2026 - Natural catastrophes, Allianz Risk Barometer 2026 - Climate change",
USA,Broadway,Allianz Corporate Broadway,"1633 Broadway, New York, NY 10019",
USA,Chicago,Allianz Corporate Chicago,"United States, Allianz Technology, Chicago, 125 S Clark Street, IL 60603",
USA,Cyber security resilience,Allianz Commercial Cyber security resilience,"The data center construction boom, Cyber security resilience 2025",
USA,Mill Valley,Allianz Corporate Mill Valley,"1 Belvedere Drive, Mill Valley, CA 94941",
USA,Minneapolis,Allianz Corporate Minneapolis,"P.O. Box 1344, Minneapolis, USA",
USA,Newport Beach,Allianz Corporate Newport Beach,"650 Newport Center Drive, Newport Beach, CA 92660",
USA,Plus Endorsement,Allianz Commercial Plus Endorsement,"Marine appetite at a glance, Transportation Block 2020 Plus Endorsement",
USA,rank,Allianz Commercial rank,"1. Cyber incidents (40%) - 2025 rank: 1 (38%), 2. Business interruption (37%) - 2025 rank: 3 (33%), 3. Changes in legislation and regulation (35%) - 2025 rank: 4 (23%)",
USA,Report,Allianz Commercial Report,"Report, Business Black Swans, Survey: The threats companies consider to be most plausible in the next five years., Latin America, Press release, Latin American hub in Miami opens, Allianz Commercial announces the completion of its Miami Latin America Hub, with a fully established leadership team in place and ready to serve clients and brokers across the region., Allianz Risk Barometer 2026, Expert risk article",
USA,Richmond,Allianz Corporate Richmond,"9950 Mayland Drive, Richmond, VA 23233",
Ukraine,Dehtyarivska St.,Allianz Corporate Dehtyarivska St.,"21 G, Dehtyarivska St., Ukraine",
Ukraine,Kyiv,Allianz Corporate Kyiv,"04119 Kyiv, Ukraine",
United Kingdom,Articles,Allianz Commercial Articles,"All articles, Allianz Risk Barometer 2026 - Cyber incidents, Allianz Risk Barometer 2026 - Artificial intelligence, Allianz Risk Barometer 2026 - Business interruption, Allianz Risk Barometer 2026 - Changes in legislation, Allianz Risk Barometer 2026 - Natural catastrophes, Allianz Risk Barometer 2026 - Climate change",
United Kingdom,AZ Tech UK LV,Allianz Technology AZ Tech UK LV,"Allianz Technology, AZ Tech UK LV, 15 Bishopsgate London EC2N 3AR",
United Kingdom,Bishopsgate,Allianz Corporate Bishopsgate,"15 Bishopsgate, London EC2N 3AR",
United Kingdom,Cyber security resilience,Allianz Commercial Cyber security resilience,"The data center construction boom, Cyber security resilience 2025",
United Kingdom,Deansleigh Rd,Allianz Technology Deansleigh Rd,"Allianz Technology, AZ Tech UK LV, Stour House, Deansleigh Rd, Bournemouth BH7 7DU",
United Kingdom,explosion,Allianz Commercial explosion,"Few things can be more destructive and disruptive than fire, explosion, a perennial top 10 business risk, ranking #9 globally in 2026.",
United Kingdom,Guildford,Allianz Commercial Guildford,"Guildford, Allianz Insurance plc head office, 57 Ladymead, Guildford GU1 1DB",
United Kingdom,Mid-sized businesses,Allianz Commercial Mid-sized businesses,"We offer comprehensive solutions for UK based mid-corporate construction businesses and for single construction or engineering projects, traded via our specialist regional hubs., Offered by Allianz Insurance plc, Authorised and regulated by the PRA. Regulated by the FCA. Financial Services Register number 121849",
United Kingdom,Motor Fleet,Allianz Commercial Motor Fleet,"Comprehensive solutions for both traditional and electric vehicle fleets of any size, traded digitally or through our UK-wide branch network., Offered by Allianz Insurance plc, Authorised and regulated by the PRA. Regulated by the FCA. Financial Services Register number 121849",
United Kingdom,Northern Ireland,Allianz Corporate Northern Ireland,"Allianz Partners (AWP Assistance UK Ltd), 102 George Street",+44 28 9089 5600 | +44 28 9043 4222
United Kingdom,Public Interest Disclosure Act,Allianz Technology Public Interest Disclosure Act,"Public Interest Disclosure Act 1998, Allianz Technology provides a secure and confidential channel for workers and relevant third parties to raise concerns about suspected wrongdoing in the public interest, with protection against detriment or dismissal for disclosures made in good faith. Reports can be submitted via the",
United Kingdom,rank,Allianz Commercial rank,"1. Cyber incidents (62%) - 2025 rank: 1 (41%), 2. Artificial intelligence (51%) - 2025 rank: 5 (22%), 3. Business interruption (31%) - 2025 rank: 2 (30%)",
United Kingdom,Report,Allianz Commercial Report,"Report, Business Black Swans, Survey: The threats companies consider to be most plausible in the next five years., Allianz Risk Barometer 2026, Expert risk article",
United Kingdom,Small- to mid-sized businesses,Allianz Commercial Small- to mid-sized businesses,"All risks cover for goods in transit worldwide or storage in the UK, available on annual or single trip policy for smaller transit values., Motor Insurance, Offered by Allianz Insurance plc, Authorised and regulated by the PRA. Regulated by the FCA. Financial Services Register number 121849",
United Kingdom,Surrey,Allianz Corporate Surrey,"Surrey, CR9 6HD",+44 20 8681 2525 | +44 20 8688 0577
United Kingdom,The Gasworks,Allianz Corporate The Gasworks,"Ormeau Road, Belfast BT7 2JD",
United Kingdom,wind,Allianz Commercial wind,"Insurance and inspection solutions for UK based mid-corporate commercial operators of renewable power installations including; solar, wind, hydro and short term operational reserve installations (STOR), both during construction and whilst operational., Offered by Allianz Insurance plc, Authorised and regulated by the PRA. Regulated by the FCA. Financial Services Register number 121849",
United States of America,Chicago,Allianz Commercial Chicago,"IL, Chicago office, 155 North Wacker Dr, STE 2700, Chicago, IL 60606",
United States of America,New York,Allianz Commercial New York,"NY, New York office, 28 Liberty Street, 24th Floor, New York, NY 10005",
United States of America,O'Fallon,Allianz Commercial O'Fallon,"MO, Saint Louis office, 1 Progress Point Parkway, Suite 200, O'Fallon, MO 63368",
United States of America,West Loop South,Allianz Commercial West Loop South,"TX, Houston office, 2000 West Loop South, Houston, TX 77027",
the Nordic countries,Copenhagen,Allianz Commercial Copenhagen,"Denmark, Finland, Sweden, Copenhagen, Pilestraede 58, 1112",
the Nordic countries,Helsinki,Allianz Commercial Helsinki,"Finland, Helsinki, Konepajankuja 1, 00510",
the Nordic countries,Stockholm,Allianz Commercial Stockholm,"Serienummer 997015, R 799, SE- 106 53, Stockholm",
the Nordic countries,Sweden,Allianz Commercial Sweden,"Sweden, Stockholm, Visitor's address:, Norrlandsgatan 16, 111 43 Stockholm",
