country,city,company_type,address,phone
China,Munich,Allianz Corporate Munich,"Koeniginstrasse 28, 80802 Munich, Germany",+49 89 3800 3900
China,No.,Allianz Corporate No.,"19F & 20F, No.1366, Lujiazui Ring Road, China",+86 21 6165 3688 | +86 21 6165 3699
China,Shanghai,Allianz Corporate Shanghai,"Pudong New Area, Shanghai 200120, China",+86 21 6165 3688 | +86 21 6165 3699
China,Shanghai Pudong,Allianz Corporate Shanghai Pudong,"Aurora Plaza 25F04 Fucheng Road 99, Shanghai Pudong 200120, China, Toll Free: 400 8866014 (Shanghai)",+86 21 60424601 | +86 21 60424688
Colombia,Bogota D.C.,Allianz Corporate Bogota D.C.,"Colombia, Solunion (Joint venture Euler Hermes / MAPFRE), Calle 7 Sur No. 42 – 70 - Bogota D.C., Fórum II Piso 8- Medellin",+57 1 7 452 121 | +57 1 5 616 695 | +57 4 444 01 45 | +57 4 314 19 90
Colombia,Bogotá,Allianz Corporate Bogotá,"Colombia, Allianz Inversiones S.A., Carrera 13a 29-24 Local 102",
Croatia,Zagreb,Allianz Corporate Zagreb,"Heinzelova 70, 10000 Zagreb, Croatia",+385 99 3465 855 | +385 1 4653 533
Cyprus,Nicosia,Allianz Corporate Nicosia,"rd, Floor, 1075 Nicosia",+357 77770110
Denmark,Copenhagen,Allianz Corporate Copenhagen,"Pilestraede 58, Copenhagen, 1112, Denmark",
Denmark,København K,Allianz Corporate København K,"Møntergade 5, 1116 København K, Denmark",+45 88 33 33 88
Denmark,VM Amsterdam,Allianz Corporate VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",
Egypt,NEXtCARE,Allianz Corporate NEXtCARE,"Building A1, Plot No. 14B01",
Estonia,Tallinn,Allianz Corporate Tallinn,"Lõõtsa 8a, 11415 Tallinn, Estonia",+372 6671247
Estonia,VM Amsterdam,Allianz Corporate VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",
Finland,Helsinki,Allianz Corporate Helsinki,"Suomen sivuliike, Konepajankuja 1, 00510 Helsinki, Finland",+358 10 850 8500
Finland,VM Amsterdam,Allianz Corporate VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",
France,Paris,Allianz Corporate Paris,"92086 Paris, France",+33 1 44862000 | +33 1 44864242
France,Paris La Défense,Allianz Corporate Paris La Défense,"92176 Paris La Défense, France",+33 1 58856900
France,Place des Saisons,Allianz Corporate Place des Saisons,"1 Place des Saisons, 92048 Paris La Défense Cedex, France",+33 1 8411 5054
France,Puteaux,Allianz Corporate Puteaux,"1 Cours Michelet, 92800 Puteaux, France",+33 1 85637939
France,SAINT-OUEN-SUR-SEINE,Allianz Corporate SAINT-OUEN-SUR-SEINE,"Eurosquare 2, 7 rue Dora Maar, 93400 SAINT-OUEN-SUR-SEINE, France",+33 1 53 05 86 00
France,St-Ouen,Allianz Corporate St-Ouen,"France, Allianz Technology, Eurosquare 1 151-161, boulebvard Victor Hugo, 93400 St-Ouen",
French Guyana,Cayenne,Allianz Corporate Cayenne,"34 rue Léopold Heder, BP 462, 97300 Cayenne",+335 94302766 | +335 94306909
Germany,Aschheim,Allianz Corporate Aschheim,"AWP P&C S.A. German Branch, Bahnhofstrasse 16, 85609 Aschheim / Munich, Germany",+49 89 2620 830
Germany,Aschheim near Munich,Allianz Corporate Aschheim near Munich,"Allianz Partners Deutschland GmbH, Bahnhofstr. 16, 85609 Aschheim near Munich, Germany",+49 89 51719-0
Germany,Bad Friedrichshall,Allianz Corporate Bad Friedrichshall,"Friedrichsplatz 2, 74177 Bad Friedrichshall, Germany",+49 7136 9513 0 | +49 7136 9513 133
Germany,Berlin,Allianz Corporate Berlin,"Pariser Platz 6, 10117 Berlin, Germany",+49 30 9940 5970
Germany,Frankfurt am Main,Allianz Corporate Frankfurt am Main,"Bockenheimer Landstrasse 42-44, 60323 Frankfurt am Main, Germany",
Germany,Hamburg,Allianz Corporate Hamburg,"Kleine Rosenstr. 10, 20095 Hamburg, Germany",
Germany,Ismaning,Allianz Corporate Ismaning,"Münchener Str. 89, 85737 Ismaning",+49 89 3800 6312
Germany,Munich,Allianz Corporate Munich,"Koeniginstrasse 28, 80802 Munich, Germany",+49 89 3800 0
Germany,München,Allianz Corporate München,"Allianz Technology SE, Allianz Services, Koeniginstr. 28, 80802 München",
Germany,Potsdam,Allianz Corporate Potsdam,"Zeppelinstr. 48, 14471 Potsdam, Germany",+49 331 27890 000 | +49 331 5057 121
Germany,Stuttgart,Allianz Corporate Stuttgart,"Charlottenstr. 3, 70182 Stuttgart, Germany",
Germany,Unterfoehring,Allianz Corporate Unterfoehring,"Head Office, Dieselstrasse 6-11, 85774 Unterfoehring, Germany",
Greece,Athens,Allianz Corporate Athens,"Athinon Ave. 110, Building C, 104 42 Athens, Greece",+30 210 69 99 903
Greece,Kifisias Ave.,Allianz Corporate Kifisias Ave.,"274, Kifisias Ave., 152 32 Chalandri, Greece",+30 210 8119500
Greece,Nymfeou Str.,Allianz Corporate Nymfeou Str.,"16, Laodikias Str., & 1-3, Nymfeou Str., 115 28 Athens, Greece",+30 210 6900 000
Greece,Premetis St,Allianz Corporate Premetis St,"10 Premetis St, 173 42 Agios Dimitrios, Greece",+30 211 10 98090
Guadeloupe,Le Patio de Grand Camp,Allianz Corporate Le Patio de Grand Camp,"Le Patio de Grand Camp, BP 212, 97156 Pointe a Pitre Cedex",
Guernsey,St Peter Port,Allianz Corporate St Peter Port,"34 Les Canichers, St Peter Port, Guernsey GY1 2 LT",+44 1481 724212 | +44 1481 720400
Hong Kong,Admiralty,Allianz Corporate Admiralty,"32/F, Two Pacific Place, 88 Queensway, Admiralty, Hong Kong",+852 2238 8888 | +852 2877 2533
Hong Kong,Taikoo Shing,Allianz Corporate Taikoo Shing,"Hong Kong, PIMCO Asia Ltd., Suites 403-11, 4/F, Cityplaza Phase Four, 12 Taikoo Wan Road",+852 3665 8901
Hungary,Budapest,Allianz Corporate Budapest,"Könyves Kálmán krt. 48-52, 1087 Budapest, Hungary",+36 1 4292 595 | +36 1 3016 100
Hungary,Budaörs,Allianz Corporate Budaörs,"Szabadság út 117, 2040 Budaörs, Hungary",+36 23 507 416
Iceland,Hafnarfirði,Allianz Corporate Hafnarfirði,"Dalshrauni 3, 220 Hafnarfirði",+354 595 3300 | +354 595 3350
India,Bandra (East),Allianz Corporate Bandra (East),"Bandra Kurla Complex, Bandra (East), Mumbai 400 051, India",+91 22 6623 2525
India,Embassy Taurus Techzone,Allianz Corporate Embassy Taurus Techzone,"Niagara building, 9th Floor, Embassy Taurus Techzone",
India,Gurgaon,Allianz Corporate Gurgaon,"Badshahpur, Sector 66, Gurgaon, Haryana 122102, India",+91 124 4343 800 | +91 124 4343 900
India,In Pune,Allianz Corporate In Pune,"In Pune, Office 1A, 5th Floor, Tower B, S. No. 72/2/1, Eon Kharadi Infrastructure Pvt. Ltd",
India,Kharadi,Allianz Corporate Kharadi,"Pune, EON Free Zone, 12th floor, Tower A, Phase 2, Kharadi, Pune - 411014, India",
India,Mumbai,Allianz Corporate Mumbai,"Bandra Kurla Complex, Mumbai, Maharashtra 400051, India",
India,Pune,Allianz Corporate Pune,"Kharadi, Maharashtra, Pune, India, EON Free Zone, Office 1B, 5th Floor, Tower B, S. No. 72/2/1, Eon Kharadi Infrastructure Pvt. Ltd",
India,Thiruvananthapuram,Allianz Corporate Thiruvananthapuram,"Kazhakuttam, Thiruvananthapuram, Kerala - 695581, India",
India,Trivandrum,Allianz Corporate Trivandrum,"Kharadi, Maharashtra, Pune, India, In Trivandrum, Ganga Technopark Campus, Phase III, Trivandrum, Kerala - 695581",+91 (0) 471 6613 555 | +91 (0) 471 2700 967
India,Vaibhav Chambers,Allianz Corporate Vaibhav Chambers,"5th Floor, Vaibhav Chambers",
Indonesia,Jakarta,Allianz Corporate Jakarta,"Suite E-H, 11/F, Revenue Tower, Revenue Tower 11th Floor, District 8, SCBD Lot 13, Jl. Jenderal Sudirman Kav. 29-31, Jakarta 12190, Indonesia",+6221 3952 5050
Indonesia,Jakarta Selatan,Allianz Corporate Jakarta Selatan,"-15, th, floor, Jl. Jenderal Sudirman Kav. 29-31, Jakarta Selatan 12920, Indonesia",+6221 2926 8888 | +6221 2926 9090
Ireland,Dublin,Allianz Corporate Dublin,"Maple House, Temple Road, Blackrock, Dublin, Ireland, Allianz Partners, 18b Beckett Way",+353 1 2422 300 | +353 1 2422 302
Ireland,Elmpark,Allianz Corporate Elmpark,"Allianz House, Elmpark, Merrion Road, Dublin 4, Ireland",+353 1 6133 000 | +353 1 6609 220
Ireland,Merrion Roard,Allianz Corporate Merrion Roard,"Allianz House, Elm Park, Merrion Roard, Dublin 4, D04 Y6Y6 Ireland",+353 1 613 3000
Italy,Milan,Allianz Corporate Milan,"Piazza Tre Torri, 3, 20145 Milan, Italy",
Italy,Milano,Allianz Corporate Milano,"Piazza Tre Torri, 3 – 20145 Milano, Italy",+39 02 721 61 | +39 02 2216 5000
Italy,Roma RM,Allianz Corporate Roma RM,"Via Raffaello Matarazzo, 19, 00139 Roma RM, Italia",+39 06 8700 7420
Italy,Trieste,Allianz Corporate Trieste,"Largo Ugo Irneri, 1 - 34123 Trieste, Italy",+39 02 721 61 | +39 02 2216 5000
Ivory Coast,bld Roume,Allianz Corporate bld Roume,"Ivory Coast, Allianz Côte d'Ivoire Assurances Vie, 2 bld Roume, BP 1741",+225 2030 4000 | +225 2030 4001
Japan,Minato City,Allianz Corporate Minato City,"Tokyo 107-0051, Japan",
Japan,Minato-ku,Allianz Corporate Minato-ku,"6-6, Motoakasaka 1-chome, 18F, Minato-ku, Tokyo 107-0051, Japan",+81 3 4588 1500 | +81 3 4588 1511
Japan,Roppongi,Allianz Corporate Roppongi,"19/F Ark Hills South Tower, 1-4-5 Roppongi, Minato-ku, Tokyo 106-0032, Japan",+81 3 6229 0200 | +81 3 6229 0201
Japan,Shinagawa-ku,Allianz Corporate Shinagawa-ku,"AWP Japan K.K., Shinagawa Seaside East Tower 2F, 4-12-8 Higashi-Shinagawa, Shinagawa-ku, Tokyo 140-0002, Japan",+81 3 5783 78 73
Japan,th Fl.,Allianz Corporate th Fl.,"10th Fl., New Otani Garden Court, 4-1 Kioi-cho, Chiyoda-ku, Tokyo 102-0094, Japan",+81 3 3238 2560
Japan,Tokyo,Allianz Corporate Tokyo,"Tokyo, 107-0051, Japan",+81 3 4588 7500
Kuwait,NEXtCARE,Allianz Corporate NEXtCARE,"United Arab Emiratess, NEXtCARE, Al Dawliya Building - Tower 1 - 5th floor, Kw City 32032",+971 4 211 6000 | +971 4 211 6060
Kuwait,P.O. Box,Allianz Corporate P.O. Box,"501, Al Warba Center, P.O. Box 183957",
Latvia,Riga,Allianz Corporate Riga,"Merkela Street 1, 1050 Riga, Latvia",+371 7225 222 | +371 7225 585
Latvia,VM Amsterdam,Allianz Corporate VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",
Liechtenstein,Schaan,Allianz Corporate Schaan,"Im alten Riet 102, 9494 Schaan, Liechtenstein",
Lithuania,Vilnius,Allianz Corporate Vilnius,"Lvivo g. 25-701, LT-09320 Vilnius, Lithuania",+370 5 2690169
Lithuania,VM Amsterdam,Allianz Corporate VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",
Luxembourg,Luxemburg,Allianz Corporate Luxemburg,"14 bld F.D. Roosevelt, 2450 Luxemburg",+352 472 3461 | +352 472 3462 35
Luxembourg,route de Trèves,Allianz Corporate route de Trèves,"6a, route de Trèves, L-2633 Luxembourg",+352 46 346 31 | +352 4634 63620
Malaysia,Customer Service,Allianz Corporate Customer Service,"Ground Floor, Block 2A, Plaza Sentral, Jalan Stesen Sentral 5",
Malaysia,Jalan Tun Sambanthan,Allianz Corporate Jalan Tun Sambanthan,"Level 29, Menara Allianz Sentral, 203, Jalan Tun Sambanthan, Malaysia",+60 3 2264 1188 | +60 3 2264 0688 | +60 3 2264 1199
Malaysia,Kuala Lumpur,Allianz Corporate Kuala Lumpur,"Kuala Lumpur Sentral, 50470 Kuala Lumpur, Malaysia",+60 3 2264 1188 | +60 3 2264 0688 | +60 3 2264 1199
Mexico,Ciudad De,Allianz Corporate Ciudad De,"03940 Ciudad De Mexico, Mexico",+52 55 5377 3838
Mexico,Ciudad de México,Allianz Corporate Ciudad de México,"11010 Ciudad de México, CDMX, Mexico",
Mexico,Col. Lomas de Barrilaco,Allianz Corporate Col. Lomas de Barrilaco,"Col. Lomas de Barrilaco, C.P. 11010, Mexico",+52 55 5540 3000 | +52 55 5540 3204
Mexico,S.A. de C.V.,Allianz Corporate S.A. de C.V.,"AWP México, S.A. de C.V., Av. Insurgentes Sur 1602, Piso 3",
Mexico,Torre Polanco,Allianz Corporate Torre Polanco,"Solunion, Torre Polanco, Mariano Escobedo 476 Piso 15",
Morocco,Bd Mohamed Zerktouni,Allianz Corporate Bd Mohamed Zerktouni,"166-168, Bd Mohamed Zerktouni, Casablanca 20060",+212 5 22 49 9700 | +212 5 22 22 5521
Morocco,Casablanca,Allianz Corporate Casablanca,"Morocco, Allianz Trade in Morocco, 37, Bd Abdellatif Ben Kaddour, Casablanca 20050",+212 (0) 5 20 500 500
Netherlands,AL Amsterdam,Allianz Corporate AL Amsterdam,"De Entree 31 (Alpha Tower), P.O. Box 12473, 1100 AL Amsterdam, The Netherlands, 2022.",+31 20 696 39 41
Netherlands,AP Rotterdam,Allianz Corporate AP Rotterdam,"Postbus 761, 3011 AP Rotterdam, The Netherlands",
Netherlands,AT Rotterdam,Allianz Corporate AT Rotterdam,"P.O. Box 761, 3000 AT Rotterdam, The Netherlands",
Netherlands,The,Allianz Corporate The,"Brabantlaan 2, 5216 TV ’s-Hertogenbosch, The Netherlands",+31 73 6889 999
Netherlands,VM Amsterdam,Allianz Corporate VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, Netherlands",+31 20 561 87 11
New Zealand,Auckland,Allianz Corporate Auckland,"P.O. Box 794, 1010 Auckland",+64 0800 500 115
Nigeria,Adeola Odeku,Allianz Corporate Adeola Odeku,"307, Adeola Odeku",0 800 255 42 69
Norway,Oslo,Allianz Corporate Oslo,"Holbergsgate 21, P.O. Box 6875, St. Olavs Plass, 0130 Oslo, Norway",+47 23 25 60 00
Norway,VM Amsterdam,Allianz Corporate VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam, The Netherlands",
Oman,Nextcare,Allianz Corporate Nextcare,"United Arab Emiratess, Nextcare, 1st Floor # 17, Edara Building",+971 4 266 0019
Oman,P.O. Box,Allianz Corporate P.O. Box,"501, Al Warba Center, P.O. Box 183957",
Pakistan,Clifton,Allianz Corporate Clifton,"D-136, Block# 4, KDA Scheme 5, Clifton, Karachi-75600",
Philippines,Makati City,Allianz Corporate Makati City,"9th Floor, Allied Bank Center, 6754 Ayala Avenue corner Legaspi Street, Makati City",+63 818-2701
Philippines,The,Allianz Corporate The,"The Philippines, Trunkline +632 8818-LIFE (5433)",+63 818-2701
Poland,Warsaw,Allianz Corporate Warsaw,"Al. Jerozolimskie 98, 00-807 Warsaw, Poland",+48 22 233 4444
Poland,Warszawa,Allianz Corporate Warszawa,"ul. Inflancka 4B, 00-189 Warszawa, Poland",+48 224 224 224
Portugal,Av. do Brasil,Allianz Corporate Av. do Brasil,"Av. do Brasil, 56, 3.º Piso, 1700-073 Lisboa, Portugal",+351 210 014 284
Portugal,Lisboa,Allianz Corporate Lisboa,"Rua Andrade Corvo 32, 1069-014 Lisboa, Portugal",+351 213 108 300 | +351 213 165 570
Qatar,P.O. Box,Allianz Corporate P.O. Box,"501, Al Warba Center, P.O. Box 183957",
Qatar,Umm Ghuwailina,Allianz Corporate Umm Ghuwailina,"Jaidah Square Building, Umm Ghuwailina, 63 Airport Road Zone 27",+974 4031 8400
Romania,Bucharest,Allianz Corporate Bucharest,"Romania, Allianz Services Romania, Globalworth Campus- Building C, Ing. George Constantinescu street 2-4, 14th Floor, District 2",+40 21 312 22 37
Romania,Buzești St.,Allianz Corporate Buzești St.,"82-94 Buzești St., Floors 3, 4, 12, District 1, Zip Code 011 017, Romania",40 21 2082 222 | 40 21 2082 211
Romania,Cladirea B,Allianz Corporate Cladirea B,"Romania, Allianz Trade in Romania, Oregon Park, Cladirea B, Et. 1, Șoseaua Pipera 46D-46E-48, Sector 2",40 21 2072 166 | 40 21 2072 170
Saudi Arabia,Al Khobar,Allianz Corporate Al Khobar,"Al Rabia & Nassar Building, 102 King Abdallah Road, Al Khobar 31952",
Saudi Arabia,Khorais Rd,Allianz Corporate Khorais Rd,"Allianz Branch - Ibrahim Aljafali Rd, Al andalouse, P.O. Box 122901, Jeddah 21332, 2nd floor, Alliance building, Khorais Rd, Malaz P.O Box 3540, Riyadh 11481, +966 11 473 6917 (Riyadh), +966 2 283 0229 (Jeddah)",
Senegal,Dakar,Allianz Corporate Dakar,"Senegal, Allianz Sénégal Assurances Vie, Avenue Abdoulaye Fadiga X rue de Thann, BP 2610",+221 33 8494 400
Singapore,CapitaSky,Allianz Corporate CapitaSky,"No. 79 Robinson Road, #09-01 CapitaSky, Singapore 068897",+65 6 297 8801
Singapore,Marina View,Allianz Corporate Marina View,"12 Marina View, #14-01 Asia Square Tower 2, Singapore 018961",+65 6 297 8801
Singapore,Toll free),Allianz Corporate Toll free),"79 Robinson Road, #09-03, Singapore 068897, Reg.No. 199907169Z, Singapore, 1800 438 0828 (Toll free)",
Slovakia,Bratislava,Allianz Corporate Bratislava,"Dostojevského rad 4, 815 74 Bratislava, Slovakia",+421 2 50 122 222 | +421 2 5963 2740
Slovakia,Bratislava - mestská časť Ružinov,Allianz Corporate Bratislava - mestská časť Ružinov,"Allianz Technology (Slovakia) s.r.o., Nivy Tower, Mlynské nivy 18890/5, 821 09 Bratislava - mestská časť Ružinov, Slovakia",
Slovenia,Ljubljana,Allianz Corporate Ljubljana,"Celovška cesta 252, 1000 Ljubljana, Slovenia",+386 1 580 94 75
South Africa,Rosebank,Allianz Corporate Rosebank,"The Firs, 32A Cradock Avenue, 2196 Rosebank, South Africa",+27 10 593 4803
South Africa,UAE.,Allianz Corporate UAE.,"P.O.Box 80864, Dubai, UAE.",+27 87 195 0581 | +971 56 2164563
South Korea,Seoul,Allianz Corporate Seoul,"Allianz Trade in South Korea, Level 22, Seoul Finance Center, 136 Sejong-daero, Jung-gu, Seoul, 04520",
Spain,Avda. General Perón,Allianz Corporate Avda. General Perón,"Avda. General Perón, 40",
Spain,Barcelona,Allianz Corporate Barcelona,"Allianz Technology Iberolatam, Tarragona 109, 4th Floor, 08014 Barcelona, Spain",
Spain,Madrid,Allianz Corporate Madrid,"C/ Ramírez de Arellano, 28043 Madrid, Spain",+34 902 232 629 | +34 902 333 639
Sri Lanka,Galle Face,Allianz Corporate Galle Face,"Levels 25-27, One Galle Face Tower, No 1A, Centre Road, Galle Face, Colombo 02, Sri Lanka",+94 112 303 300 | +94 112 309 999
Sweden,Stockholm,Allianz Corporate Stockholm,"Visitor's address:, Norrlandsgatan 16, 111 43 Stockholm",
Switzerland,Bern,Allianz Corporate Bern,"Effingerstrasse 34, 3001 Bern, Switzerland",
Switzerland,Genève,Allianz Corporate Genève,"Avenue du Bouchet 12, 1211 Genève 28, Switzerland",+41 58 358 0111 | +41 58 358 0112
Switzerland,Lausanne,Allianz Corporate Lausanne,"Route de Chavannes 31, 1007 Lausanne, Switzerland",
Switzerland,Wallisellen,Allianz Corporate Wallisellen,"8304 Wallisellen, Switzerland",+41 58 358 7111 | +41 58 358 4042
Switzerland,Zurich,Allianz Corporate Zurich,"Gottfried-Keller-Strasse 5, 8001 Zurich, Switzerland",+41 44 206 44 77 | +41 44 206 44 99
Switzerland,Zürich,Allianz Corporate Zürich,"PO Box 8010 Zürich, Richtiplatz 1, Switzerland",+41 58 358 7111 | +41 58 358 4042
Taiwan,Flat A,Allianz Corporate Flat A,"Taipei, Taiwan, Allianz Trade in Taiwan, Flat A, 8/F, No. 39, Section 2 Dunhua South Road",+886 2 8789 5858 | +886 2 8789 5008
Taiwan,Kaohsiung,Allianz Corporate Kaohsiung,"R., Kaohsiung 80250",
Taiwan,Taipei,Allianz Corporate Taipei,"Taipei, 8F, No. 42, Sec. 2",
Taiwan,Zhongshan N. Rd.,Allianz Corporate Zhongshan N. Rd.,"Zhongshan N. Rd., Taipei 104016",+886 2 8770 9888
Thailand,Bangkok,Allianz Corporate Bangkok,"1st Floor, Ploenchit Tower, 898 Ploenchit Road, Bangkok 10330, Thailand",+66 2 305 7000
Thailand,Din Daeng,Allianz Corporate Din Daeng,"G Tower, 1 Ratchadaphisek Road, Din Daeng, Bangkok 10400, Thailand",
Thailand,Rajathevi,Allianz Corporate Rajathevi,"Makkasan, Rajathevi, Bangkok 10400, Thailand",+66 2305 8555 | +66 2305 8556
Türkiye,Kucukbakkalkoy Mahallesi,Allianz Corporate Kucukbakkalkoy Mahallesi,"Allianz Tower, Kucukbakkalkoy Mahallesi, Kayisdagi Caddesi. No: 1, Atasehir/Istanbul 34750",+90 850 399 99 99 | +90 216 556 67 77
Türkiye,Üsküdar Istanbul,Allianz Corporate Üsküdar Istanbul,"Altunizade Mah, Kısıklı Cad. No: 47 Kat: 3-4, 34662 Üsküdar Istanbul",
USA,Alpharetta,Allianz Corporate Alpharetta,"11475 Great Oaks Way, 2nd Floor, Alpharetta, GA 30022, USA",
USA,Broadway,Allianz Corporate Broadway,"1633 Broadway, New York, NY 10019, United States of America",+1 212 739 3600
USA,Burbank,Allianz Corporate Burbank,"2350 West Empire Drive, Suite 200, Burbank, CA 91504, USA",
USA,Chicago,Allianz Corporate Chicago,"155 North Wacker Dr, STE 2700, Chicago, IL 60606, United States of America",
USA,Mill Valley,Allianz Corporate Mill Valley,"1 Belvedere Drive, Mill Valley, CA 94941",
USA,Minneapolis,Allianz Corporate Minneapolis,"P.O. Box 1344, Minneapolis, USA",+1 800 9505 872
USA,New York,Allianz Corporate New York,"New York, 60 East 42nd Street, Suite 3710, NY 10165, USA",
USA,Newport Beach,Allianz Corporate Newport Beach,"650 Newport Center Drive, Newport Beach, CA 92660, USA",+1 949 720 6000 | +1 949 720 1376
USA,O'Fallon,Allianz Corporate O'Fallon,"1 Progress Point Parkway, Suite 200, O'Fallon, MO 63368, United States of America",
USA,Overbay,Allianz Corporate Overbay,"Overbay, 106 Pitts Bay Road, Bermuda, HM 08, USA",+1-441-295-4722
USA,Richmond,Allianz Corporate Richmond,"9950 Mayland Drive, Richmond, VA 23233",
USA,West Loop South,Allianz Corporate West Loop South,"2000 West Loop South, Houston, TX 77027, United States of America",
Ukraine,Kyiv,Allianz Corporate Kyiv,"21 G, Dehtyarivska St., 04119 Kyiv, Ukraine",+38 044 4997 700 | +38 044 4997 701
United Arab Emirates,Abu Dhabi,Allianz Corporate Abu Dhabi,"United Arab Emirates, Abu Dhabi, Office M3, Mezzanine floor Sakeena Nest",
United Arab Emirates,Dubai,Allianz Corporate Dubai,"United Arab Emirates, Nextcare, Dubai, Eiffel 2 Building, 1st Floor",+971 4 266 0019
United Arab Emirates,P.O. Box,Allianz Corporate P.O. Box,"c/o Alliance Insurance PSC, 501, Al Warba Center, P.O. Box 183957",
United Kingdom,Bishopsgate,Allianz Corporate Bishopsgate,"15 Bishopsgate, London EC2N 3AR, United Kingdom",+44 20 3451 3000 | +44 20 7488 0509
United Kingdom,Cromac Quay,Allianz Corporate Cromac Quay,"Allianz, 3 Cromac Quay",
United Kingdom,Deansleigh Rd,Allianz Corporate Deansleigh Rd,"AZ Tech UK LV, Stour House, Deansleigh Rd, Bournemouth BH7 7DU, United Kingdom",
United Kingdom,Guildford,Allianz Corporate Guildford,"Guildford Business Park, Guildford, Surrey GU2 8XG, United Kingdom",+44 1483 568 161
United Kingdom,Northern Ireland,Allianz Corporate Northern Ireland,"Allianz Partners (AWP Assistance UK Ltd), 102 George Street",+44 28 9089 5600 | +44 28 9043 4222
United Kingdom,Surrey,Allianz Corporate Surrey,"Surrey, CR9 6HD",+44 20 8681 2525 | +44 20 8688 0577
United Kingdom,The Gasworks,Allianz Corporate The Gasworks,"Ormeau Road, Belfast BT7 2JD",
