business_unit,country,office_name,office_type,city,address,postcode,phone,email,website,source_url,source_page,notes
Allianz Corporate,Hungary,Allianz Hungária Zrt.,office,Budapest,"1087 Budapest, Hungary, Send email",1087,,,,https://www.allianz.com/en/about-us/company/contact/hungary.html,Hungary | Allianz,
Allianz Corporate,Hungary,Allianz Partners,contact,Budaörs,"Szabadság út 117, 2040 Budaörs",2040,,,,https://www.allianz.com/en/about-us/company/contact/hungary.html,Hungary | Allianz,
Allianz Corporate,Hungary,Send email,contact,Back to contacts globally overview,"Allianz Trade is the trademark used to designate a range of services provided by Euler Hermes., Back to contacts globally overview",,,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/hungary.html,Hungary | Allianz,
Allianz Corporate,Iceland,Allianz Ísland Söluumbod hf,office,Dalshrauni 3,Dalshrauni 3,,,,,https://www.allianz.com/en/about-us/company/contact/iceland.html,Iceland | Allianz,
Allianz Corporate,Iceland,Allianz Ísland Söluumbod hf,office,Iceland,"220 Hafnarfirði, Iceland",,,,,https://www.allianz.com/en/about-us/company/contact/iceland.html,Iceland | Allianz,
Allianz Corporate,Iceland,Allianz Ísland Söluumbod hf,office,Send email,"Opening hours: 9-16 working days, Send email",,,,,https://www.allianz.com/en/about-us/company/contact/iceland.html,Iceland | Allianz,
Allianz Corporate,Iceland,Allianz Partners Nordic and Baltic Region,contact,VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam",1059,,,,https://www.allianz.com/en/about-us/company/contact/iceland.html,Iceland | Allianz,
Allianz Corporate,Iceland,The Netherlands,contact,Back to contacts globally overview,"Send email, Back to contacts globally overview",,,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/iceland.html,Iceland | Allianz,
Allianz Corporate,Ireland,Allianz Ireland Plc,office,Send email,"Allianz House, Elmpark, Merrion Road, Dublin 4, Ireland, Send email",,,,,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Allianz Global Corporate & Specialty,contact,Merrion Roard,"Allianz House, Elm Park, Merrion Roard, Dublin 4, D04 Y6Y6 Ireland",,+353 1 613 3000,,,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Send email,contact,Allianz Partners,"Allianz Global Life dac., Maple House, Temple Road,, Blackrock,, Dublin, Ireland, Send email, Allianz Partners, 18b Beckett Way",,+353 1 2422 300 | +353 1 2422 302,,www.agcs.allianz.com | www.allianzgloballife.com,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Park West Business Campus,contact,Nangor Road,"Nangor Road, Dublin 12",,,,,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Park West Business Campus,contact,Nangor Road,"Nangor Road, Dublin 12, Ireland",,+353 1630 1301,,,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Ireland,Send email,contact,Merrion Road,"Allianz Re Dublin dac, Allianz House, Elmpark, Merrion Road, Dublin 4",,,,www.allianzcare.com,https://www.allianz.com/en/about-us/company/contact/ireland.html,Ireland | Allianz,
Allianz Corporate,Italy,Allianz S.p.A.,registered_office,Milano,"Piazza Tre Torri, 3 – 20145 Milano, Italy",20145,,,,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Allianz Bank Financial Advisors S.p.A.,contact,Milano,"Piazza Tre Torri 3, 20145 Milano",20145,,,,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Italy,Milan,contact,Trieste,"Italy, Allianz Technology, Allianz Technology S.p.A. Trieste, Largo Ugo Irneri 1, 34123 Trieste",34123,,,,https://www.allianz.com/en/about-us/company/contact/italy.html,Italy | Allianz,
Allianz Corporate,Liechtenstein,Allianz Commercial (Allianz Risk Transfer AG),office,Im alten Riet 102,"Im alten Riet 102, Liechtenstein",,,,,https://www.allianz.com/en/about-us/company/contact/liechtenstein.html,Liechtenstein | Allianz,
Allianz Corporate,Liechtenstein,Allianz Commercial (Allianz Risk Transfer AG),office,Schaan,"9494 Schaan, Liechtenstein",9494,,,,https://www.allianz.com/en/about-us/company/contact/liechtenstein.html,Liechtenstein | Allianz,
Allianz Corporate,Lithuania,Allianz Lietuva gyvybės draudimas UAB,office,Lvivo g. 25-701,Lvivo g. 25-701,,,,,https://www.allianz.com/en/about-us/company/contact/lithuania.html,Lithuania | Allianz,
Allianz Corporate,Lithuania,Allianz Lietuva gyvybės draudimas UAB,office,Vilnius,"LT-09320 Vilnius, Lithuania, Send email",09320,,,,https://www.allianz.com/en/about-us/company/contact/lithuania.html,Lithuania | Allianz,
Allianz Corporate,Lithuania,Allianz Partners Nordic and Baltic Region,contact,VM Amsterdam,"Poeldijkstraat 4, 1059 VM Amsterdam",1059,,,,https://www.allianz.com/en/about-us/company/contact/lithuania.html,Lithuania | Allianz,
Allianz Corporate,Lithuania,The Netherlands,contact,Back to contacts globally overview,"Send email, Back to contacts globally overview",,,,www.allianz-partners.com,https://www.allianz.com/en/about-us/company/contact/lithuania.html,Lithuania | Allianz,
Allianz Corporate,Luxembourg,Allianz Insurance Luxembourg,office,14 bld F.D. Roosevelt,14 bld F.D. Roosevelt,,,,,https://www.allianz.com/en/about-us/company/contact/luxembourg.html,Luxembourg | Allianz,
Allianz Corporate,Luxembourg,Allianz Insurance Luxembourg,office,Luxemburg,2450 Luxemburg,2450,,,,https://www.allianz.com/en/about-us/company/contact/luxembourg.html,Luxembourg | Allianz,
Allianz Corporate,Luxembourg,"Allianz Global Investors GmbH, Luxembourg Branch",contact,Luxembourg,"6a, route de Trèves, L-2633 Luxembourg",2633,+352 46 346 31 | +352 4634 63620,,www.allianzgi.lu,https://www.allianz.com/en/about-us/company/contact/luxembourg.html,Luxembourg | Allianz,
Allianz Corporate,Luxembourg,Allianz Life Luxembourg S.A,contact,Luxemburg,"14 bld F.D. Roosevelt, 2450 Luxemburg",2450,+352 472 3461 | +352 472 3462 35,,www.allianz.lu,https://www.allianz.com/en/about-us/company/contact/luxembourg.html,Luxembourg | Allianz,
Allianz Corporate,Netherlands,Allianz Nederland Groep NV,office,P.O. Box 761,P.O. Box 761,,,,,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,Allianz Nederland Groep NV,office,AT Rotterdam,"3000 AT Rotterdam, The Netherlands",3000,,,,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,Allianz Benelux N.V. Netherlands Branch,contact,AT Rotterdam,"P.O. Box 761, 3000 AT Rotterdam",3000,,,,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,The Netherlands,contact,AG Rotterdam,"Allianz Commercial, Coolsingel 120, 3011 AG Rotterdam",3011,,,,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,The Netherlands,contact,AG Rotterdam,"Allianz Global Investors, Coolsingel 120, 3011 AG Rotterdam",3011,,,www.allianzdirect.nl,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,The Netherlands,contact,VM Amsterdam,"Send email, nl.allianzgi.com, Allianz Partners, Poeldijkstraat 4, 1059 VM Amsterdam",1059,,,,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,The Netherlands,contact,TV,"Send email, Allianz Trade in the Netherlands, Brabantlaan 2, 5216 TV ’s-Hertogenbosch",5216,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,The Netherlands,contact,AL Amsterdam,"Send email, Allianz Trade is the trademark used to designate a range of services provided by Euler Hermes., Euler Hermes Garanties, De Entree 31 (Alpha Tower), P.O. Box 12473, 1100 AL Amsterdam",1100,+31 73 6889 999,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Netherlands,The Netherlands,contact,Our brand name,"Our brand name, website domain names and email addresses changed to Allianz Trade effective March 28, 2022.",2022,+31 20 696 39 41,,www.allianz-trade.nl,https://www.allianz.com/en/about-us/company/contact/netherlands.html,Netherlands | Allianz,
Allianz Corporate,Poland,PTE Allianz Polska S.A.,office,ul. Inflancka 4B,"ul. Inflancka 4B, Poland",,,,,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Poland,PTE Allianz Polska S.A.,office,00-189 Warszawa,"00-189 Warszawa, Poland",,,,,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Poland,Allianz Global Corporate & Specialty,contact,TU Allianz POLSKA S.A.,"TU Allianz POLSKA S.A., ul. Rodziny Hiszpanskich 1, 02-685 Warszawa",,,,,https://www.allianz.com/en/about-us/company/contact/poland.html,Poland | Allianz,
Allianz Corporate,Portugal,Allianz Portugal,office,Rua Andrade Corvo 32,"Rua Andrade Corvo 32, Portugal",,,,,https://www.allianz.com/en/about-us/company/contact/portugal.html,Portugal | Allianz,
Allianz Corporate,Portugal,Allianz Commercial,contact,R. Andrade Corvo 32,R. Andrade Corvo 32,,1069-014 Lisboa,,,https://www.allianz.com/en/about-us/company/contact/portugal.html,Portugal | Allianz,
Allianz Corporate,Romania,Allianz-Tiriac Asigurari S.A.,office,82-94 Buzești St.,"82-94 Buzești St., Romania",,,,,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Allianz-Tiriac Asigurari S.A.,office,12,"Floors 3, 4, 12, Romania",,,,,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Allianz-Tiriac Asigurari S.A.,office,Bucharest,"District 1, Bucharest, Romania",,,,,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Allianz Partners,contact,Floreasca Park - Building A,"Floreasca Park - Building A, Soseaua Pipera 43, 5th Floor, Sector 2",,,,,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Bucharest,contact,Globalworth Campus- Building C,"Romania, Allianz Services Romania, Globalworth Campus- Building C, Ing. George Constantinescu street 2-4, 14th Floor, District 2",,+40 21 312 22 37,,www.allianzworldwidepartners.ro,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Bucharest,contact,Floreasca Park - Building A,"Romania, Allianz Technology, Floreasca Park - Building A, Soseaua Pipera 43, Sector 2",,,,,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Bucharest,contact,Allianz-Tiriac Pensii Private,"Romania, Allianz-Tiriac Pensii Private, Emanoil Porumbaru 85-87, Sector 1",,,,www.tech.allianz.com,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Bucharest,contact,Cladirea B,"Romania, Allianz Trade in Romania, Oregon Park, Cladirea B, Et. 1, Șoseaua Pipera 46D-46E-48, Sector 2",,+ 40 21 2072 166 | + 40 21 2072 170,,www.aztpensii.ro,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Romania,Bucharest,contact,Back to contacts globally overview,"Romania, Allianz Trade is the trademark used to designate a range of services provided by Euler Hermes., Back to contacts globally overview",,+40 21 302 0300,,www.allianz-trade.com,https://www.allianz.com/en/about-us/company/contact/romania.html,Romania | Allianz,
Allianz Corporate,Slovakia,"Allianz Slovenská poistovna, a. s.",office,Dostojevského rad 4,Dostojevského rad 4,,,,,https://www.allianz.com/en/about-us/company/contact/slovakia.html,Slovakia | Allianz,
Allianz Corporate,Slovakia,"Allianz Slovenská poistovna, a. s.",office,Send email,"815 74 Bratislava, Slovakia, Send email",,,,,https://www.allianz.com/en/about-us/company/contact/slovakia.html,Slovakia | Allianz,
Allianz Corporate,Slovakia,"Allianz Slovenská dôchodková správcovská spolocnost, a.s. (Pension Fund Company)",contact,811 09 Bratislava,"Pribinova 19, 811 09 Bratislava",,,,,https://www.allianz.com/en/about-us/company/contact/slovakia.html,Slovakia | Allianz,
Allianz Corporate,Slovenia,"Allianz Slovenija, podružnica",office,Celovška cesta 252,"Celovška cesta 252, Slovenia",,,,,https://www.allianz.com/en/about-us/company/contact/slovenia.html,Slovenia | Allianz,
Allianz Corporate,Slovenia,"Allianz Slovenija, podružnica",office,Ljubljana,"1000 Ljubljana, Slovenia",1000,,,,https://www.allianz.com/en/about-us/company/contact/slovenia.html,Slovenia | Allianz,
Allianz Corporate,Spain,Allianz Compañía de Seguros y Reaseguros S.A.,office,Madrid,"C/ Ramírez de Arellano, 28043 Madrid, Spain, Send email",28043,,,,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,Allianz Commercial,contact,Madrid,"Calle Ramírez, d, e Arellano 35, 28043 Madrid",28043,,,,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Spain,Edificio Moda Shopping,contact,Madrid,28020 Madrid,28020,,,,https://www.allianz.com/en/about-us/company/contact/spain.html,Spain | Allianz,
Allianz Corporate,Switzerland,Allianz Suisse Versicherungs-Gesellschaft,office,Zürich,PO Box 8010 Zürich,8010,,,,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Allianz Suisse Versicherungs-Gesellschaft,office,Richtiplatz 1,Richtiplatz 1,,,,,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Allianz Suisse Versicherungs-Gesellschaft,office,Wallisellen,"8304 Wallisellen, Switzerland, Send email",8304,,,,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Allianz Commercial (Allianz Risk Transfer AG) Zurich / Wallisellen Branch,contact,Wallisellen,"Visitor address:, Richtiplatz 1, CH-8304 Wallisellen",8304,,,,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Postfach,contact,Wallisellen,8304 Wallisellen,8304,,,,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Visitors adress:,contact,Wallisellen,"Neue Winterthurer Strasse 88, 8304 Wallisellen",8304,,,,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Switzerland,Send email,contact,Wallisellen,"Euler Hermes Reinsurance AG, Visitor address:, Richtiplatz 1, CH-8304 Wallisellen",8304,,,www.elvia.ch,https://www.allianz.com/en/about-us/company/contact/switzerland.html,Switzerland | Allianz,
Allianz Corporate,Türkiye,Allianz Hayat ve Emeklilik A.S.,office,Kucukbakkalkoy Mahallesi,"Allianz Tower, Kucukbakkalkoy Mahallesi, Kayisdagi Caddesi. No: 1",,,,,https://www.allianz.com/en/about-us/company/contact/turkiye.html,Türkiye | Allianz,
Allianz Corporate,Türkiye,Allianz Hayat ve Emeklilik A.S.,office,Türkiye,"Atasehir/Istanbul 34750, Türkiye",34750,,,,https://www.allianz.com/en/about-us/company/contact/turkiye.html,Türkiye | Allianz,
Allianz Corporate,Türkiye,Allianz Partners,contact,Üsküdar Istanbul,"Altunizade Mah, Kısıklı Cad. No: 47 Kat: 3-4, 34662 Üsküdar Istanbul",34662,,,,https://www.allianz.com/en/about-us/company/contact/turkiye.html,Türkiye | Allianz,
Allianz Corporate,Ukraine,Allianz Ukraine,office,Dehtyarivska St.,"21 G, Dehtyarivska St., Ukraine",,,,,https://www.allianz.com/en/about-us/company/contact/ukraine.html,Ukraine | Allianz,
Allianz Corporate,Ukraine,Allianz Ukraine,office,Kyiv,"04119 Kyiv, Ukraine",04119,,,,https://www.allianz.com/en/about-us/company/contact/ukraine.html,Ukraine | Allianz,
Allianz Corporate,Ukraine,24/7 Information Support Center,contact,,,,Toll-free number from Landline in Ukraine: 0800 500 727,,,https://www.allianz.com/en/about-us/company/contact/ukraine.html,Ukraine | Allianz,
Allianz Corporate,Ukraine,"Commercial property, liability and transport insurance",contact,,,,+38 044 499 77 00 | Toll-free number from Landline in Ukraine: 0800 500 727,,,https://www.allianz.com/en/about-us/company/contact/ukraine.html,Ukraine | Allianz,
Allianz Corporate,Ukraine,Property or car insurance,contact,,,,+38 044 4590 051 | Toll-free number from Landline in Ukraine: 0800 500 727,,,https://www.allianz.com/en/about-us/company/contact/ukraine.html,Ukraine | Allianz,
Allianz Corporate,Ukraine,Send e-mail for claim settlement,contact,Back to contacts globally overview,Back to contacts globally overview,,,,,https://www.allianz.com/en/about-us/company/contact/ukraine.html,Ukraine | Allianz,
Allianz Corporate,United Kingdom,Allianz Holdings plc,office,Send email,"Guildford Business Park, Guildford, Surrey GU2 8XG, United Kingdom, Send email",,,,,https://www.allianz.com/en/about-us/company/contact/united-kingdom.html,United Kingdom | Allianz,
Allianz Corporate,United Kingdom,"Allianz Global Corporate & Specialty SE, UK Branch t/a Allianz Commercial Registered Office",contact,London EC2N 3AR,"15 Bishopsgate, London EC2N 3AR",,,,,https://www.allianz.com/en/about-us/company/contact/united-kingdom.html,United Kingdom | Allianz,
